name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nederland,2022-12-12,1,-3.7,-1,-2,-6.1,-3.5,-2.5,89.7,0,0,0,,0,0,20.2,10.3,154.8,1011.9,34.1,9.9,33.9,3.1,2,10,2022-12-12T08:41:16,2022-12-12T16:26:46,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-13,-0.8,-5.5,-3.1,-2.3,-7.5,-5,-4.8,88.8,0.005,100,4.17,"rain,snow",0,0,23.8,15.9,113.5,1010.4,47.7,10.2,23,1.8,1,10,2022-12-13T08:42:15,2022-12-13T16:26:45,0.67,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain or snow.,snow,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-14,0.9,-5.7,-2.7,0.3,-9.4,-4.9,-5.8,79.2,0.062,100,4.17,"rain,snow",0,0,15.1,10.8,31.3,1004,33.7,24.8,37.7,3.3,2,10,2022-12-14T08:43:11,2022-12-14T16:26:47,0.71,"Snow, Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain or snow.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-15,4.7,-3.5,0.1,1.7,-6.2,-2.5,-1.4,90.3,1.635,100,20.83,"rain,snow",0.2,1.4,18.5,16.1,207.3,1007.6,44.8,17.7,34.5,2.9,2,10,2022-12-15T08:44:03,2022-12-15T16:26:53,0.74,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-16,3.6,-3.8,-0.2,1,-7.3,-2.2,-2.2,86.8,0.143,100,4.17,snow,0,0.1,22.7,12.7,358.3,1015.4,32.3,25.7,31,2.7,2,10,2022-12-16T08:44:53,2022-12-16T16:27:03,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-17,0,-3.1,-1.6,-4.9,-8.5,-6.6,-2.2,96.2,0,0,0,,0,0,28.1,19.9,164.4,1024.7,82.5,2.5,32.8,2.8,2,10,2022-12-17T08:45:39,2022-12-17T16:27:16,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-18,0.5,-5.9,-2.5,-5.1,-9.9,-7.5,-4.3,88.1,1.214,100,12.5,"rain,freezingrain,snow",0,0,35.3,27.3,147.1,1024,94.9,11.4,13.7,1.2,1,10,2022-12-18T08:46:22,2022-12-18T16:27:32,0.84,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-19,9.9,0.9,6.7,6.6,-5.1,2.7,5.6,92.4,4.554,100,62.5,"rain,snow",0,0,45.2,30.9,182.4,1013.3,98.8,19.7,6.8,0.6,0,10,2022-12-19T08:47:02,2022-12-19T16:27:52,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-20,10.5,7.9,9.7,10.5,5.6,8,8.5,92.4,2.931,100,54.17,rain,0,0,42.2,30.5,194.3,1009.6,98.2,21.6,3.3,0.3,0,10,2022-12-20T08:47:39,2022-12-20T16:28:16,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-21,8.8,4.6,6.8,6.2,2,4,6.3,96.5,0.738,100,29.17,rain,0,0,35.4,26.1,198.1,1008.4,87.1,5.8,15.4,1.3,1,10,2022-12-21T08:48:12,2022-12-21T16:28:43,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-22,9.7,4.9,8.2,8.3,3.1,6.1,7.7,97,2.773,100,37.5,rain,0,0,35.3,25,213,1003.3,86.4,6.8,29.8,2.5,2,10,2022-12-22T08:48:42,2022-12-22T16:29:14,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-23,10.4,7.9,8.9,10.4,6.4,7.6,8.5,97.9,8.68,100,79.17,rain,0,0,46.8,34,216.3,1002.3,99.8,4.9,3.6,0.2,0,10,2022-12-23T08:49:09,2022-12-23T16:29:48,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-24,10.3,6.5,8.9,10.3,4.1,6.5,7.5,91.3,1.611,100,12.5,rain,0,0,55.1,36.8,233.3,1009.9,86.7,9.7,13.6,1.1,1,10,2022-12-24T08:49:32,2022-12-24T16:30:25,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-25,9.3,7.7,8.7,7.7,5.3,6.8,8.3,97.8,3.093,100,62.5,rain,0,0,27.4,17.1,175.3,1010.8,98.1,6.3,5.5,0.5,0,10,2022-12-25T08:49:52,2022-12-25T16:31:06,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-26,9.2,5.3,7.6,6.6,2.2,4.1,4.7,82.7,1.165,100,37.5,rain,0,0,54.6,38.1,242.7,1012.8,80.3,24.9,11.8,1,1,10,2022-12-26T08:50:08,2022-12-26T16:31:50,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-27,7.3,5.4,6.5,3.7,1.6,2.6,3.6,82,0.281,100,16.67,rain,0,0,48.3,35.9,219.9,1020.8,75.1,29.5,29.2,2.5,3,10,2022-12-27T08:50:21,2022-12-27T16:32:37,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-28,10.8,6.4,8.9,10.8,1.8,5.3,7.6,91.1,3.421,100,62.5,rain,0,0,63.6,42.6,204,1006.6,99.4,19.5,5.7,0.5,0,10,2022-12-28T08:50:30,2022-12-28T16:33:28,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-29,11,7.6,9.5,11,3.9,6.7,6.9,84.3,2.762,100,54.17,rain,0,0,63,41.7,220.9,1000.6,93.6,21.8,9.9,0.9,1,10,2022-12-29T08:50:36,2022-12-29T16:34:22,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-30,11.9,4.7,7.9,11.9,0,4.8,6.4,90.3,1.968,100,33.33,rain,0,0,60.5,44,193.9,1002.6,86.5,19.6,7.1,0.5,0,10,2022-12-30T08:50:38,2022-12-30T16:35:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-31,14.6,10.2,12.9,14.6,10.2,12.9,10.8,87.7,15.518,100,79.17,rain,0,0,73.6,46,218,1002.9,98.7,19.7,4.6,0.3,0,10,2022-12-31T08:50:37,2022-12-31T16:36:18,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2023-01-01,14,10.3,12,14,10.3,12,8.5,79.2,7.659,100,33.33,rain,0,0,70.6,45.2,213.9,1010.4,99.7,24,19.3,1.7,1,10,2023-01-01T08:50:32,2023-01-01T16:37:21,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2023-01-02,11.1,4.8,8.7,11.1,2.4,6.7,7.4,91.7,5.107,100,45.83,rain,0,0,36.6,27.3,238.1,1014.7,79.2,26.3,10.4,0.7,1,10,2023-01-02T08:50:24,2023-01-02T16:38:26,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
